user_id,movie_id,rating
user_1,682,8.1
user_1,2,7.6
user_1,889,6.9
user_1,1028,6.3
user_1,1278,6.6
user_1,1362,7.1
user_1,460,6.4
user_1,459,5.4
user_1,43,6.2
user_1,931,6.4
user_1,1361,5.0
user_1,1060,9.4
user_1,213,7.7
user_1,732,7.7
user_1,679,3.3
user_1,315,5.9
user_1,845,3.5
user_1,611,6.5
user_1,1054,6.8
user_1,788,7.1
user_1,1308,6.4
user_1,1207,7.0
user_1,1209,4.7
user_1,1347,7.0
user_1,335,6.2
user_1,1268,7.3
user_1,1203,6.1
user_1,85,6.9
user_1,119,5.5
user_1,328,7.2
user_1,913,4.6
user_1,1264,8.4
user_1,620,6.6
user_1,285,5.2
user_1,316,5.0
user_1,1045,6.5
user_1,124,7.8
user_1,1058,7.1
user_1,1377,6.8
user_1,971,6.2
user_2,852,6.8
user_2,154,7.7
user_2,416,7.9
user_2,108,9.0
user_2,605,6.0
user_2,177,8.5
user_2,1121,5.5
user_2,391,6.8
user_2,486,5.4
user_2,162,3.6
user_2,661,5.1
user_2,266,5.8
user_2,68,6.8
user_2,983,1.2
user_2,457,5.1
user_2,1116,8.3
user_2,1084,7.0
user_2,190,8.2
user_2,1205,3.1
user_2,1085,6.6
user_2,183,6.5
user_2,620,5.5
user_2,349,6.2
user_2,297,6.4
user_2,1056,6.9
user_2,395,6.4
user_2,1262,5.4
user_2,649,6.2
user_2,1052,7.8
user_2,369,5.2
user_2,747,6.3
user_2,1257,5.1
user_2,80,8.5
user_2,1131,6.4
user_2,36,7.3
user_2,650,6.6
user_2,968,3.6
user_2,1267,7.1
user_2,514,4.6
user_2,1061,8.0
user_3,424,7.6
user_3,525,5.6
user_3,193,7.2
user_3,1313,6.2
user_3,344,4.5
user_3,1289,8.3
user_3,806,7.1
user_3,563,3.7
user_3,1021,8.2
user_3,337,9.0
user_3,336,4.1
user_3,370,6.4
user_3,1169,6.7
user_3,545,4.3
user_3,1122,7.2
user_3,825,5.7
user_3,122,7.7
user_3,3,5.1
user_3,584,7.4
user_3,130,4.7
user_3,1016,5.1
user_3,962,6.1
user_3,26,7.8
user_3,236,5.2
user_3,215,5.8
user_3,82,7.6
user_3,753,7.2
user_3,829,5.5
user_3,595,6.0
user_3,508,5.9
user_3,661,4.9
user_3,145,8.4
user_3,882,5.2
user_3,909,2.4
user_3,1394,5.3
user_3,376,8.3
user_3,855,7.4
user_3,174,8.3
user_3,1103,7.4
user_3,472,5.3
user_4,349,5.6
user_4,941,6.0
user_4,1111,6.8
user_4,1171,7.9
user_4,271,5.5
user_4,461,5.1
user_4,1384,7.7
user_4,663,6.6
user_4,259,6.6
user_4,1094,8.1
user_4,809,3.3
user_4,1374,4.8
user_4,1225,4.4
user_4,1084,7.8
user_4,375,7.1
user_4,671,5.6
user_4,1135,7.4
user_4,517,7.6
user_4,1239,5.3
user_4,890,6.7
user_4,893,7.9
user_4,1114,5.6
user_4,1154,4.7
user_4,569,4.7
user_4,106,5.4
user_4,433,7.2
user_4,114,8.8
user_4,467,3.8
user_4,529,6.1
user_4,1069,7.7
user_4,297,6.3
user_4,1305,7.0
user_4,1274,5.1
user_4,348,6.1
user_4,1119,8.4
user_4,1324,6.2
user_4,866,6.9
user_4,12,7.4
user_4,427,5.0
user_4,657,4.5
user_5,927,5.1
user_5,380,6.6
user_5,1001,5.6
user_5,1042,7.2
user_5,632,3.2
user_5,1130,5.4
user_5,163,6.4
user_5,483,4.7
user_5,1395,7.7
user_5,743,7.1
user_5,861,4.6
user_5,116,7.1
user_5,736,5.8
user_5,1171,8.7
user_5,1,8.7
user_5,451,7.6
user_5,81,6.1
user_5,1363,5.3
user_5,1205,4.1
user_5,67,6.9
user_5,379,6.9
user_5,715,5.3
user_5,1002,4.4
user_5,524,7.6
user_5,1147,8.7
user_5,1359,7.4
user_5,993,6.6
user_5,872,6.3
user_5,637,5.2
user_5,338,7.9
user_5,1070,8.9
user_5,170,6.6
user_5,223,6.4
user_5,16,8.0
user_5,1355,5.9
user_5,406,5.3
user_5,1380,4.5
user_5,665,5.9
user_5,1194,7.0
user_5,428,6.0
user_6,772,5.6
user_6,676,6.5
user_6,133,7.1
user_6,624,8.9
user_6,980,6.5
user_6,670,5.0
user_6,1184,4.6
user_6,422,7.1
user_6,1042,6.7
user_6,500,4.9
user_6,929,5.3
user_6,381,5.2
user_6,18,7.2
user_6,1262,6.6
user_6,52,7.5
user_6,408,6.7
user_6,680,6.0
user_6,671,4.3
user_6,1154,4.8
user_6,598,8.2
user_6,564,7.9
user_6,761,7.1
user_6,573,7.6
user_6,486,5.3
user_6,512,6.9
user_6,849,7.2
user_6,561,6.0
user_6,921,2.6
user_6,283,5.2
user_6,223,5.4
user_6,523,6.4
user_6,358,6.2
user_6,755,7.5
user_6,815,6.9
user_6,696,7.1
user_6,244,7.1
user_6,77,7.3
user_6,857,5.1
user_6,569,6.3
user_6,1206,5.8
user_7,768,3.8
user_7,138,7.2
user_7,1043,7.0
user_7,395,5.8
user_7,719,5.4
user_7,1291,6.3
user_7,237,2.6
user_7,856,4.3
user_7,1130,5.2
user_7,1139,6.6
user_7,1334,7.5
user_7,1095,6.1
user_7,494,4.0
user_7,393,6.7
user_7,276,5.4
user_7,583,5.6
user_7,277,8.0
user_7,1093,6.7
user_7,645,4.8
user_7,664,8.5
user_7,278,7.3
user_7,1182,7.0
user_7,152,7.5
user_7,332,7.3
user_7,164,7.7
user_7,853,2.7
user_7,78,8.2
user_7,534,4.9
user_7,621,4.3
user_7,382,5.9
user_7,610,6.0
user_7,335,6.2
user_7,599,3.6
user_7,8,8.7
user_7,798,4.5
user_7,839,6.7
user_7,1071,5.7
user_7,1359,7.0
user_7,606,6.2
user_7,818,6.9
user_8,857,5.8
user_8,356,7.2
user_8,254,6.2
user_8,449,4.0
user_8,878,7.2
user_8,1329,5.4
user_8,791,6.5
user_8,866,6.6
user_8,959,6.1
user_8,136,6.2
user_8,582,5.3
user_8,335,7.3
user_8,841,7.0
user_8,543,6.1
user_8,291,6.8
user_8,507,2.7
user_8,421,4.6
user_8,993,6.4
user_8,462,6.8
user_8,7,4.3
user_8,1181,5.9
user_8,429,9.8
user_8,1171,8.1
user_8,758,5.3
user_8,776,6.7
user_8,162,3.7
user_8,1130,4.9
user_8,212,5.2
user_8,381,5.7
user_8,178,7.2
user_8,122,7.7
user_8,1112,7.5
user_8,633,7.4
user_8,952,4.9
user_8,816,4.6
user_8,444,4.1
user_8,474,7.2
user_8,1058,8.0
user_8,1332,6.2
user_8,769,7.3
user_9,969,4.9
user_9,579,5.0
user_9,1163,7.2
user_9,1370,6.0
user_9,209,4.9
user_9,1269,5.6
user_9,357,2.9
user_9,196,5.8
user_9,850,6.7
user_9,1042,6.5
user_9,223,6.2
user_9,712,8.3
user_9,40,7.0
user_9,271,4.4
user_9,1210,6.1
user_9,416,7.0
user_9,51,6.3
user_9,1050,5.4
user_9,816,6.5
user_9,1314,7.9
user_9,1378,4.4
user_9,1293,9.1
user_9,245,6.5
user_9,1366,7.4
user_9,320,7.1
user_9,200,6.6
user_9,1243,6.4
user_9,1039,5.2
user_9,109,9.2
user_9,1344,6.9
user_9,554,7.1
user_9,1271,4.4
user_9,567,3.4
user_9,288,5.8
user_9,1292,7.1
user_9,447,6.4
user_9,234,6.5
user_9,985,6.7
user_9,911,2.7
user_9,1087,5.4
user_10,468,9.6
user_10,166,8.1
user_10,692,4.7
user_10,1398,6.4
user_10,893,7.3
user_10,1203,7.0
user_10,133,6.8
user_10,649,6.6
user_10,95,6.8
user_10,793,4.9
user_10,254,7.1
user_10,114,8.1
user_10,924,6.6
user_10,788,7.6
user_10,398,4.2
user_10,895,7.3
user_10,53,6.5
user_10,98,8.2
user_10,1365,5.4
user_10,911,4.7
user_10,741,7.6
user_10,162,2.4
user_10,363,6.0
user_10,1259,5.8
user_10,1065,8.6
user_10,355,7.3
user_10,299,6.8
user_10,1279,6.8
user_10,57,6.7
user_10,337,8.4
user_10,43,5.9
user_10,189,6.6
user_10,929,4.4
user_10,1371,6.2
user_10,80,8.0
user_10,202,6.7
user_10,1273,7.2
user_10,1315,2.8
user_10,3,6.4
user_10,836,7.2
user_11,388,6.4
user_11,639,6.3
user_11,89,8.5
user_11,71,6.3
user_11,1093,6.3
user_11,35,5.9
user_11,539,6.2
user_11,1023,5.0
user_11,741,6.6
user_11,842,5.3
user_11,1249,8.0
user_11,924,7.0
user_11,302,7.5
user_11,1030,6.7
user_11,126,5.9
user_11,892,7.1
user_11,821,4.3
user_11,730,3.9
user_11,1315,4.1
user_11,1187,7.5
user_11,1036,7.8
user_11,1017,6.5
user_11,184,7.0
user_11,9,7.6
user_11,170,6.7
user_11,1217,8.5
user_11,377,6.9
user_11,1233,7.1
user_11,158,7.3
user_11,698,6.5
user_11,1112,7.8
user_11,409,6.1
user_11,1266,6.6
user_11,1019,8.5
user_11,693,7.1
user_11,867,7.0
user_11,1044,6.4
user_11,1251,4.9
user_11,550,5.2
user_11,207,6.4
user_12,87,6.0
user_12,592,7.3
user_12,895,7.3
user_12,1365,5.5
user_12,1126,7.5
user_12,199,4.4
user_12,1077,6.5
user_12,139,7.5
user_12,112,7.7
user_12,947,3.9
user_12,281,7.2
user_12,787,6.1
user_12,656,6.2
user_12,21,5.4
user_12,1139,6.1
user_12,654,4.3
user_12,1144,6.7
user_12,1395,8.2
user_12,768,4.2
user_12,548,6.3
user_12,1247,5.7
user_12,468,9.7
user_12,266,6.1
user_12,300,7.0
user_12,1216,8.3
user_12,543,5.7
user_12,1134,4.9
user_12,235,6.4
user_12,1389,6.8
user_12,1394,5.8
user_12,1319,6.8
user_12,197,4.3
user_12,1201,6.8
user_12,969,5.2
user_12,1169,6.9
user_12,638,6.0
user_12,389,4.9
user_12,239,4.8
user_12,982,5.9
user_12,1137,6.5
user_13,525,6.6
user_13,1355,4.4
user_13,1330,8.8
user_13,574,5.3
user_13,1253,5.2
user_13,600,3.6
user_13,825,6.0
user_13,1272,5.6
user_13,156,7.2
user_13,117,7.5
user_13,418,6.6
user_13,333,4.7
user_13,336,3.0
user_13,1129,4.9
user_13,808,1.6
user_13,233,7.3
user_13,712,8.2
user_13,1028,5.2
user_13,396,6.7
user_13,571,4.2
user_13,325,6.5
user_13,369,6.8
user_13,380,6.5
user_13,409,6.3
user_13,185,6.8
user_13,302,7.7
user_13,242,7.0
user_13,1128,4.1
user_13,1161,7.2
user_13,1125,8.1
user_13,1137,6.6
user_13,601,7.7
user_13,691,5.4
user_13,1081,8.2
user_13,106,6.3
user_13,735,5.8
user_13,8,7.9
user_13,428,5.8
user_13,78,8.2
user_13,789,7.0
user_14,1036,6.7
user_14,127,4.2
user_14,587,6.7
user_14,654,4.9
user_14,1073,7.8
user_14,114,8.9
user_14,573,7.8
user_14,387,7.7
user_14,1182,7.5
user_14,452,4.5
user_14,558,4.9
user_14,21,6.8
user_14,931,6.7
user_14,575,5.2
user_14,469,5.4
user_14,195,8.2
user_14,1285,7.6
user_14,313,6.2
user_14,201,5.7
user_14,1142,8.4
user_14,158,8.2
user_14,725,5.9
user_14,788,7.6
user_14,1003,5.9
user_14,421,5.0
user_14,343,6.8
user_14,559,7.6
user_14,1330,7.5
user_14,1149,5.9
user_14,441,6.0
user_14,923,5.8
user_14,1225,4.1
user_14,988,1.0
user_14,1326,8.1
user_14,662,5.8
user_14,796,5.9
user_14,514,4.8
user_14,1141,6.9
user_14,785,4.5
user_14,1220,8.2
user_15,65,7.6
user_15,1316,7.4
user_15,269,5.3
user_15,650,6.5
user_15,529,6.4
user_15,1077,5.9
user_15,848,1.9
user_15,262,7.0
user_15,969,5.3
user_15,495,3.7
user_15,321,5.6
user_15,1260,7.2
user_15,871,6.9
user_15,770,4.4
user_15,854,4.5
user_15,561,5.0
user_15,72,7.7
user_15,76,6.4
user_15,568,7.7
user_15,1001,5.1
user_15,1074,8.2
user_15,841,6.5
user_15,201,4.4
user_15,1369,6.2
user_15,821,4.4
user_15,834,6.0
user_15,997,6.8
user_15,314,6.4
user_15,626,4.7
user_15,803,5.7
user_15,188,6.6
user_15,25,6.3
user_15,1244,7.2
user_15,1011,4.7
user_15,952,5.3
user_15,817,6.6
user_15,375,6.6
user_15,187,7.1
user_15,1132,4.6
user_15,1099,6.3
user_16,1116,8.3
user_16,681,6.3
user_16,831,5.3
user_16,321,6.8
user_16,611,5.0
user_16,1179,6.6
user_16,1012,3.7
user_16,1305,6.4
user_16,32,6.2
user_16,440,7.8
user_16,836,7.8
user_16,123,7.2
user_16,204,8.2
user_16,561,5.7
user_16,1168,5.9
user_16,1070,8.5
user_16,1007,5.1
